Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
May,114.2580645,-17.41935484,-57.83870968,-60.58064516,-60.41935484,22.96774194,187,Redbridge,1729
Jun,122.4333333,-9.433333333,-45.66666667,-52.33333333,-47.86666667,18.5,80,Redbridge,1897
Jul,130.9032258,-8.709677419,-29.64516129,-46.03225806,-43.87096774,14.51612903,70,Redbridge,2041
Aug,112.8125,-13.09677419,-16.22580645,-44.06451613,-41.96774194,11.09677419,142,Redbridge,1936
Sep,78.7,-7.933333333,-18.33333333,-37.06666667,-37.13333333,9.933333333,753,Redbridge,2006
Oct,19.25806452,-11.16129032,-23.83870968,-40.22580645,-34.4516129,11.64516129,2090,Redbridge,2118
Nov,2.433333333,-9.1,-39.03333333,-46.2,-39.96666667,15,3671,Redbridge,1967
Dec,-14.64516129,-8.64516129,-34.06451613,-52.74193548,-47.03225806,16.83870968,12684,Redbridge,1826
Mar,9.096774194,-0.774193548,-27.96774194,-32.83870968,-31.12903226,12.75,178,Richmond upon Thames,933
Apr,-4.333333333,-32.7,-80.1,-76.06666667,-76.9,34.95238095,259,Richmond upon Thames,718
May,50.35483871,-19.4516129,-71.16129032,-64.32258065,-67.41935484,28.76,71,Richmond upon Thames,970
Jun,55.23333333,-11.26666667,-57.9,-56.13333333,-57.3,22.8,25,Richmond upon Thames,1017
